Sample	Bacilli	Gammaproteobacteria	Bacteroidia	Actinomycetes	Betaproteobacteria	Other
bracken.1.ERR6913309	32112	62388	12358	20304	7278	41588
bracken.10.ERR6913281	123241	21891	304702	47694	231053	378399
bracken.11.ERR6913187	46660	9633	21686	4121	6570	6705
bracken.12.ERR6913283	44776	7201	38691	5701	5360	12287
bracken.2.ERR6913338	121048	427835	25102	24077	30699	69921
bracken.3.ERR6913119	1683	7636	153	5206	4067	6922
bracken.4.ERR6913215	726	1621	197	3708	1444	7059
bracken.5.ERR6913294	196354	32980	82107	37110	94416	107950
bracken.6.ERR6913323	529702	13466	15789	32023	158942	108160
bracken.7.ERR6913146	104006	2553	3580	21013	1792	13477
bracken.8.ERR6913242	353188	36426	27631	111425	33745	152367
bracken.9.ERR6913185	53305	5150	3363	4023	762	3272
