Sample	Bacteria	Eukaryota	Viruses	Archaea
bracken.1.ERR6913309	176404	186	39	47
bracken.10.ERR6913281	1104336	4249	93	281
bracken.11.ERR6913187	95241	145	302	25
bracken.12.ERR6913283	114055	350	271	92
bracken.2.ERR6913338	699020	286	82	54
bracken.3.ERR6913119	25416	976	403	276
bracken.4.ERR6913215	10288	2686	2401	52
bracken.5.ERR6913294	549274	2607	653	439
bracken.6.ERR6913323	855927	2056	834	1059
bracken.7.ERR6913146	146432	374	117	67
bracken.8.ERR6913242	675506	40838	403	1532
bracken.9.ERR6913185	69631	140	354	21
