Sample	Streptococcaceae	Enterobacteriaceae	Prevotellaceae	Veillonellaceae	Neisseriaceae	Other
bracken.1.ERR6913309	26323	57550	11051	23159	7056	50889
bracken.10.ERR6913281	107960	2347	266198	235072	219799	275604
bracken.11.ERR6913187	44786	412	15482	2119	6398	26178
bracken.12.ERR6913283	42100	110	26700	3468	4827	36811
bracken.2.ERR6913338	111064	406528	22026	41013	30328	87723
bracken.3.ERR6913119	94	612	37	14	75	24835
bracken.4.ERR6913215	224	682	60	45	52	13692
bracken.5.ERR6913294	175685	541	73040	56089	82235	163327
bracken.6.ERR6913323	508198	579	4422	51501	153876	139506
bracken.7.ERR6913146	102477	168	3406	10491	1008	28871
bracken.8.ERR6913242	335832	9995	22298	36095	2558	308004
bracken.9.ERR6913185	51589	90	3303	1863	380	12650
