Sample	Streptococcus	Klebsiella	Prevotella	Veillonella	Neisseria	Other
bracken.1.ERR6913309	26304	51745	10395	22983	6438	58163
bracken.10.ERR6913281	107662	351	216352	230085	198682	353848
bracken.11.ERR6913187	44779	5	10800	2107	6064	31620
bracken.12.ERR6913283	42093	19	18852	3444	4471	45137
bracken.2.ERR6913338	110995	382434	20909	40681	28745	114918
bracken.3.ERR6913119	67	104	23	5	45	25423
bracken.4.ERR6913215	216	27	43	45	11	14413
bracken.5.ERR6913294	175617	116	71705	55946	81143	166390
bracken.6.ERR6913323	507967	181	3849	51461	147672	146952
bracken.7.ERR6913146	102395	35	3277	10456	900	29358
bracken.8.ERR6913242	335333	1302	19117	35220	1323	322487
bracken.9.ERR6913185	51581	4	3174	1854	348	12914
