Sample	Orthornavirae	Fungi	Metazoa	Heunggongvirae	Bamfordvirae	Other
bracken.1.ERR6913309	3	35	126	32	2	175830
bracken.10.ERR6913281	4	615	341	55	26	1105939
bracken.11.ERR6913187	nan	23	114	300	1	94937
bracken.12.ERR6913283	nan	106	215	259	10	113426
bracken.2.ERR6913338	9	58	161	63	8	698383
bracken.3.ERR6913119	3	272	545	354	20	24473
bracken.4.ERR6913215	2365	1651	165	17	6	10551
bracken.5.ERR6913294	12	425	1953	600	30	547897
bracken.6.ERR6913323	24	449	1341	622	175	855471
bracken.7.ERR6913146	1	65	283	106	5	145961
bracken.8.ERR6913242	58	5927	2238	277	39	706243
bracken.9.ERR6913185	1	19	115	348	2	69390
