Sample	Lactobacillales	Bacteroidales	Enterobacterales	Veillonellales	Neisseriales	Other
bracken.1.ERR6913309	31110	12334	57729	23159	7076	44620
bracken.10.ERR6913281	113271	304552	2969	235072	220100	231016
bracken.11.ERR6913187	45412	21659	477	2119	6404	19304
bracken.12.ERR6913283	43450	38653	186	3468	4837	23422
bracken.2.ERR6913338	118422	25072	407034	41013	30348	76793
bracken.3.ERR6913119	714	124	883	14	226	23706
bracken.4.ERR6913215	461	188	734	45	93	13234
bracken.5.ERR6913294	181882	82039	980	56089	82340	147587
bracken.6.ERR6913323	513480	15700	922	51501	153961	122518
bracken.7.ERR6913146	103320	3568	242	10491	1024	27776
bracken.8.ERR6913242	341889	27041	12023	36095	3108	294626
bracken.9.ERR6913185	51876	3360	119	1863	386	12271
