Sample	Bacillota	Pseudomonadota	Bacteroidota	Actinomycetota	Fusobacteriota	Other
bracken.1.ERR6913309	57906	69980	12886	28078	4416	2762
bracken.10.ERR6913281	448004	256002	314945	51370	19957	16702
bracken.11.ERR6913187	49435	16326	22304	4422	2004	884
bracken.12.ERR6913283	48937	13475	39565	5906	4502	1631
bracken.2.ERR6913338	165965	458870	26140	34198	10260	3249
bracken.3.ERR6913119	2171	14941	1353	5314	38	1850
bracken.4.ERR6913215	1011	4045	735	3751	30	5183
bracken.5.ERR6913294	259743	131021	90155	39479	14943	15576
bracken.6.ERR6913323	590384	176477	42777	33045	10003	5396
bracken.7.ERR6913146	114972	4916	3900	21291	422	920
bracken.8.ERR6913242	400406	86607	42780	114216	1385	69388
bracken.9.ERR6913185	55295	6339	3546	4100	203	392
