Sample	Klebsiella pneumoniae	Streptococcus salivarius	Streptococcus mitis	Streptococcus pneumoniae	Veillonella atypica	Other
bracken.1.ERR6913309	50824	7305	3359	2628	17237	94675
bracken.10.ERR6913281	314	4673	1913	13873	71035	1015172
bracken.11.ERR6913187	nan	453	13795	7738	43	73346
bracken.12.ERR6913283	6	219	12280	7736	51	93724
bracken.2.ERR6913338	376275	13605	21695	19854	19906	247347
bracken.3.ERR6913119	76	nan	5	5	1	25580
bracken.4.ERR6913215	15	27	19	nan	9	14685
bracken.5.ERR6913294	55	18293	27558	19697	5188	480126
bracken.6.ERR6913323	101	26225	40660	28020	5187	757889
bracken.7.ERR6913146	27	54732	1778	871	7736	81277
bracken.8.ERR6913242	1212	85175	5030	17903	14260	591202
bracken.9.ERR6913185	4	1091	15572	13648	737	38823
