.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR6913119_1	1	1	1	0.5	0.25	1	0.5	1	1	1
ERR6913119_2	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913146_1	1	1	1	0.5	0.25	1	0.5	1	1	1
ERR6913146_2	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913185_1	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913185_2	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913187_1	1	1	1	0.5	1	1	0.5	1	1	1
ERR6913187_2	1	1	1	0.5	1	1	0.5	1	1	1
ERR6913215_1	1	1	1	0.5	0.5	1	0.5	1	0.5	1
ERR6913215_2	1	1	1	0.5	0.5	1	0.5	1	0.5	1
ERR6913242_1	1	1	1	0.5	1	1	0.5	0.5	0.5	1
ERR6913242_2	1	1	1	0.5	1	1	0.5	0.5	0.5	1
ERR6913281_1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR6913281_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR6913283_1	1	1	1	0.5	1	1	0.5	1	0.5	1
ERR6913283_2	1	1	1	0.5	1	1	0.5	1	0.5	1
ERR6913294_1	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913294_2	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913309_1	1	1	1	0.5	1	1	0.5	1	1	1
ERR6913309_2	1	1	1	0.5	1	1	0.5	1	0.5	1
ERR6913323_1	1	1	1	0.5	0.25	1	0.5	0.5	0.25	1
ERR6913323_2	1	1	1	0.5	0.25	1	0.5	0.5	0.25	1
ERR6913338_1	1	1	1	0.5	1	1	0.5	1	1	1
ERR6913338_2	1	1	1	0.5	0.5	1	0.5	1	0.5	1
