Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR6913119_1	0	0
ERR6913119_2	0	0
ERR6913146_1	0	0
ERR6913146_2	0	0
ERR6913185_1	0	0
ERR6913185_2	0	0
ERR6913187_1	0	0
ERR6913187_2	0	0
ERR6913215_1	0.6733848182331889	4.5535882463740815
ERR6913215_2	0.6733848182331889	4.515916368430965
ERR6913242_1	0.25906715692764626	0.12411376346533681
ERR6913242_2	0.2592220087847459	0.12457831903663563
ERR6913281_1	0.11987931069396351	0
ERR6913281_2	0.10602839033675557	0
ERR6913283_1	0.10846636943285873	0
ERR6913283_2	0.10786710772328491	0
ERR6913294_1	0	0
ERR6913294_2	0	0
ERR6913309_1	0	0
ERR6913309_2	0.10619810774280748	0
ERR6913323_1	6.603208144604558	11.187091767023091
ERR6913323_2	6.61423023117033	11.211549059698617
ERR6913338_1	0	0
ERR6913338_2	0.11107090312134332	0
