Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR6913119_1	(1, 0.0)	(2, 0.05375533096553899)	(3, 0.004936714068263785)	(4, 0.0)	(5, 0.0)	(6, 0.0008227856780439641)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0003291142712175857)	(27, 0.0003839666497538499)	(32, 0.002578061791204421)	(37, 0.0034567521892763867)	(42, 0.0)	(47, 0.00010999176161705488)	(52, 0.00011027048246644193)	(57, 0.00011070911401710233)	(62, 0.0004454139621687651)	(67, 5.614842048878323e-05)	(72, 0.00022718327385864542)	(77, 0.00017300738741544264)	(82, 0.0)	(87, 6.028036397283767e-05)	(92, 0.0005584637035823585)	(97, 0.00032121743979421526)	(102, 0.00013368143980257925)	(107, 0.00027975197190171195)	(112, 0.0008093549661652835)	(117, 0.0036551839451877946)	(122, 0.003968742842827035)	(127, 0.00017684888881421937)	(132, 0.006465211930597851)	(137, 0.00020558428595951838)	(142, 0.00044716419645711805)	(147, 0.0001230673806215641)	(150, 0.001781895937277263)
ERR6913119_2	(1, 0.05457811664358296)	(2, 0.0)	(3, 0.012890308956022107)	(4, 0.0)	(5, 0.0)	(6, 0.00027426189268132137)	(7, 0.0)	(8, 0.00027426189268132137)	(9, 0.0)	(12, 0.0011518999492615499)	(17, 0.0012067523277978142)	(22, 5.4852378536264274e-05)	(27, 0.0002194095141450571)	(32, 0.002962028440958271)	(37, 0.003127546275339298)	(42, 0.0019770236896863615)	(47, 0.0001099926689886119)	(52, 0.0007718997610970239)	(57, 0.0005535477149827099)	(62, 0.0)	(67, 0.0003368905229326994)	(72, 0.0)	(77, 5.766936194041255e-05)	(82, 0.14497177314299392)	(87, 0.000542522621686317)	(92, 0.00322667717405131)	(97, 0.00250551373631845)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.00108873924772784)	(122, 0.001488176438198513)	(127, 0.002475558282599124)	(132, 0.0013308655283963927)	(137, 0.00020555956396705292)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR6913146_1	(1, 0.012295237014338137)	(2, 0.06998827223546325)	(3, 0.0)	(4, 0.001418681193962093)	(5, 0.002837362387924186)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0009457874626413952)	(12, 0.00037831498505655806)	(17, 0.0)	(22, 0.00018915749252827903)	(27, 0.00028373623879241855)	(32, 0.004161464835622139)	(37, 0.004447333634238035)	(42, 9.474649627456778e-05)	(47, 0.0)	(52, 9.532888465204958e-05)	(57, 0.0)	(62, 0.001063203587055593)	(67, 0.001953972230146665)	(72, 0.0017836121713694574)	(77, 0.0)	(82, 0.0009266123054114159)	(87, 0.001898083462947829)	(92, 0.0022726411878337942)	(97, 0.0008906107363124263)	(102, 0.0006884784282496469)	(107, 0.0)	(112, 0.00012251703905720687)	(117, 0.005710978785617471)	(122, 0.004212577175730289)	(127, 0.0)	(132, 0.0034163506542311504)	(137, 0.0)	(142, 0.0031076022828446367)	(147, 0.003938642514035517)	(150, 0.0)
ERR6913146_2	(1, 0.062421972534332085)	(2, 0.0009457874626413952)	(3, 0.009457874626413953)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.004256043581886278)	(9, 0.0)	(12, 0.0015132599402262322)	(17, 9.457874626413952e-05)	(22, 0.00037831498505655806)	(27, 0.0004728937313206976)	(32, 0.0048235160594711154)	(37, 0.004636581873992845)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.016624525427791567)	(67, 0.008011192221718538)	(72, 0.0027744968251829185)	(77, 0.0007058821156698771)	(82, 0.0017502550739379814)	(87, 0.00031634891175974354)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.00012690613007370708)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0001553523546756398)	(147, 0.00016405841135677947)	(150, 0.0)
ERR6913185_1	(1, 0.008010344788126381)	(2, 0.05378374357741998)	(3, 0.0)	(4, 0.00114433496973234)	(5, 0.00228866993946468)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00114433496973234)	(12, 0.0)	(17, 0.0)	(22, 0.00022886699394646803)	(27, 0.00022886699394646803)	(32, 0.002746403927357616)	(37, 0.002060269757986979)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0004618510992056161)	(67, 0.00023201694651777367)	(72, 0.0007005826512382798)	(77, 0.0)	(82, 0.0007142619055555291)	(87, 0.0)	(92, 0.0012269878430044515)	(97, 0.00025019077046247763)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.004440916383095652)	(122, 0.002860436445392838)	(127, 0.0)	(132, 0.0018371602401780819)	(137, 0.0)	(142, 0.001983844889780884)	(147, 0.001734112065258105)	(150, 0.0)
ERR6913185_2	(1, 0.05378374357741998)	(2, 0.0)	(3, 0.0114433496973234)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00228866993946468)	(9, 0.0)	(12, 0.00022886699394646803)	(17, 0.0)	(22, 0.0)	(27, 0.00022886699394646803)	(32, 0.003204137915250552)	(37, 0.0020602603253379974)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.01593437807429577)	(67, 0.00556869096317471)	(72, 0.002335439120940715)	(77, 0.00023546420590873877)	(82, 0.0007143112254009072)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR6913187_1	(1, 0.011091393078970719)	(2, 0.07922423627836228)	(3, 0.0)	(4, 0.0)	(5, 0.0015844847255672455)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.002376727088350868)	(12, 0.0003168969451134491)	(17, 0.0)	(22, 0.00015844847255672454)	(27, 0.00047534541767017363)	(32, 0.002376727088350868)	(37, 0.0030114514403455244)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0001596311881030068)	(62, 0.001924137665636184)	(67, 0.0022579297687073513)	(72, 0.0027621122684903104)	(77, 0.0)	(82, 0.0013257368611191208)	(87, 0.0018448204151181357)	(92, 0.002381478898395904)	(97, 0.0013821628429707517)	(102, 0.0003512592644631002)	(107, 0.0)	(112, 0.00018195812415730642)	(117, 0.006496085644393136)	(122, 0.005305311184922306)	(127, 0.00019376202535569865)	(132, 0.0037665306090083517)	(137, 0.0)	(142, 0.003117453165461944)	(147, 0.00279176044118405)	(150, 0.0)
ERR6913187_2	(1, 0.07843199391557866)	(2, 0.0007922423627836228)	(3, 0.011883635441754341)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.005545696539485359)	(9, 0.0)	(12, 0.0007922423627836228)	(17, 0.00015844847255672454)	(22, 0.0)	(27, 0.0006337938902268982)	(32, 0.0030105209785777666)	(37, 0.0031699488845742365)	(42, 0.0)	(47, 0.00015879191114004653)	(52, 0.0)	(57, 0.0)	(62, 0.0200438720270929)	(67, 0.010645006766030815)	(72, 0.004549634891799933)	(77, 0.0009837000895167082)	(82, 0.002320262521130962)	(87, 0.0005031826301356077)	(92, 0.00017012560373323623)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0003712917239074741)	(122, 0.0001895271109055795)	(127, 0.00019382098693646548)	(132, 0.00019830292358000233)	(137, 0.0)	(142, 0.00020792917100718813)	(147, 0.0)	(150, 0.0)
ERR6913215_1	(1, 0.0)	(2, 0.0423808626860049)	(3, 0.004708984742889433)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.00141269542286683)	(27, 0.0)	(32, 0.7826332642682238)	(37, 0.5309691522953607)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0011610019446782573)	(67, 0.0)	(72, 0.0006100722935667877)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0006977101154012532)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0009943817431511957)	(122, 0.001083130246412131)	(127, 0.0)	(132, 0.001321178491214163)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR6913215_2	(1, 0.04002637031456018)	(2, 0.0)	(3, 0.011772461857223583)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0004708984742889433)	(17, 0.0004708984742889433)	(22, 0.0)	(27, 0.0)	(32, 0.7826332642682238)	(37, 0.5309717317062507)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.13917346425948118)	(87, 0.0)	(92, 0.0006977587987384522)	(97, 0.0007380291669126764)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.0)	(132, 0.0)	(137, 0.0)	(142, 0.0)	(147, 0.0)	(150, 0.0)
