Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR6913119_1	(1, 36.6078658310821)	(2, 36.55736324616376)	(3, 36.6220835675987)	(4, 36.622741796141135)	(5, 36.6512046953636)	(6, 36.64693992293241)	(7, 36.63519328606887)	(8, 36.62796922781564)	(9, 36.62627428931887)	(12, 36.62372913895479)	(17, 36.613085583423604)	(22, 36.592319569957354)	(27, 36.56552911975645)	(32, 36.55030758471264)	(37, 36.54016392803056)	(42, 36.53608838432753)	(47, 36.52594329600596)	(52, 36.51689801175825)	(57, 36.503220960081684)	(62, 36.491679597664685)	(67, 36.478812580733994)	(72, 36.46780353862757)	(77, 36.4487801263409)	(82, 36.43068659085553)	(87, 36.41471927787933)	(92, 36.40136531720303)	(97, 36.38715565731232)	(102, 36.36700996125571)	(107, 36.345239063569494)	(112, 36.33534268333665)	(117, 36.32460069425302)	(122, 36.306357920983565)	(127, 36.274579625966155)	(132, 36.269065222590505)	(137, 36.24768483304483)	(142, 36.2326683449135)	(147, 36.205798991355955)	(150, 36.16810517806341)
ERR6913119_2	(1, 36.38098268036148)	(2, 36.60035654046049)	(3, 36.595312864254076)	(4, 36.60455274741851)	(5, 36.61273672229612)	(6, 36.61720993376575)	(7, 36.59066412517313)	(8, 36.600852954486236)	(9, 36.59295695459594)	(12, 36.59597109279652)	(17, 36.59431619653607)	(22, 36.578170398913926)	(27, 36.55930721445908)	(32, 36.545990153998055)	(37, 36.534744368571396)	(42, 36.530558127023575)	(47, 36.51286586174289)	(52, 36.50288110246449)	(57, 36.48823879765811)	(62, 36.48248918834651)	(67, 36.47247343628151)	(72, 36.44917020682147)	(77, 36.438244388406176)	(82, 36.36465306509773)	(87, 36.41398635052491)	(92, 36.407408742177154)	(97, 36.37670053098533)	(102, 36.37086899680486)	(107, 36.3502123065098)	(112, 36.31866622159347)	(117, 36.30801685727871)	(122, 36.28026633547958)	(127, 36.28567210116436)	(132, 36.25371154358068)	(137, 36.2260217604733)	(142, 36.17601362814151)	(147, 36.139677528207656)	(150, 35.98164580050964)
ERR6913146_1	(1, 36.656745356183556)	(2, 36.653122990201645)	(3, 36.70154730828888)	(4, 36.66203703703704)	(5, 36.733921613135095)	(6, 36.734394506866415)	(7, 36.738735671319944)	(8, 36.73375137139182)	(9, 36.72639314493247)	(12, 36.733970794083156)	(17, 36.72877085461355)	(22, 36.710138841599516)	(27, 36.69227575379261)	(32, 36.68068702001286)	(37, 36.67367656345036)	(42, 36.66527458735711)	(47, 36.6616483876475)	(52, 36.64356357901623)	(57, 36.63854037440542)	(62, 36.627769450879214)	(67, 36.610063502587074)	(72, 36.60172596083201)	(77, 36.59074515634363)	(82, 36.57113740498383)	(87, 36.55520970795369)	(92, 36.55045420801913)	(97, 36.52280459048511)	(102, 36.522430343345036)	(107, 36.498188528775344)	(112, 36.479174390999546)	(117, 36.446210911962055)	(122, 36.43740848723213)	(127, 36.44654906115208)	(132, 36.39382522890188)	(137, 36.39817827020958)	(142, 36.35594356550278)	(147, 36.33049200684432)	(150, 36.233345170336534)
ERR6913146_2	(1, 36.6080278439829)	(2, 36.68516626943593)	(3, 36.67201982370522)	(4, 36.65943139257746)	(5, 36.66008398592668)	(6, 36.662855143192225)	(7, 36.638501116029204)	(8, 36.64568437180797)	(9, 36.62099459009571)	(12, 36.6371013505845)	(17, 36.63570063935232)	(22, 36.6152555517724)	(27, 36.59717682442401)	(32, 36.57817784587448)	(37, 36.57809440738869)	(42, 36.55626426369643)	(47, 36.5414315231566)	(52, 36.53684458783631)	(57, 36.523979351834086)	(62, 36.512193170568054)	(67, 36.47501887130183)	(72, 36.46166599061339)	(77, 36.438231525333535)	(82, 36.44287432425104)	(87, 36.40009298966569)	(92, 36.40169091926305)	(97, 36.36911486029392)	(102, 36.348876985629886)	(107, 36.31176916188352)	(112, 36.30739104444897)	(117, 36.27097001435148)	(122, 36.256913972241605)	(127, 36.19414021204776)	(132, 36.16510297843074)	(137, 36.135977713586)	(142, 36.12996483951116)	(147, 36.03929437962259)	(150, 35.88620739680364)
ERR6913185_1	(1, 36.63121516930436)	(2, 36.64318491308776)	(3, 36.70132857289986)	(4, 36.653964548502636)	(5, 36.73609346928033)	(6, 36.732225617082634)	(7, 36.73316397175781)	(8, 36.734399853525126)	(9, 36.730795198370465)	(12, 36.735594539233524)	(17, 36.72607824962523)	(22, 36.71101193541374)	(27, 36.69316946456566)	(32, 36.67821758385114)	(37, 36.66684428349067)	(42, 36.663535881490944)	(47, 36.66175714481363)	(52, 36.65088073531701)	(57, 36.6333973018454)	(62, 36.62401428443708)	(67, 36.60775000251206)	(72, 36.59586866985482)	(77, 36.58754039487798)	(82, 36.58335635740319)	(87, 36.54070162607876)	(92, 36.54088209644343)	(97, 36.5234485306561)	(102, 36.51277629590392)	(107, 36.48733458535302)	(112, 36.46627113715579)	(117, 36.427613534600525)	(122, 36.41783694326226)	(127, 36.41644976704155)	(132, 36.371793917142455)	(137, 36.36944769039604)	(142, 36.3254612153212)	(147, 36.29139359549513)	(150, 36.186265901617666)
ERR6913185_2	(1, 36.57804936661059)	(2, 36.66077334157254)	(3, 36.65914838591552)	(4, 36.63655921361301)	(5, 36.63747468158879)	(6, 36.638458809662765)	(7, 36.61561788366691)	(8, 36.625482051106)	(9, 36.602206277821644)	(12, 36.61739160286999)	(17, 36.61132891620035)	(22, 36.591568539943005)	(27, 36.565521187361966)	(32, 36.54893977365054)	(37, 36.55638709613394)	(42, 36.537867241466735)	(47, 36.51787614159788)	(52, 36.51072144133118)	(57, 36.49484408758574)	(62, 36.484902364079794)	(67, 36.43935343129517)	(72, 36.43068602215732)	(77, 36.41112834074033)	(82, 36.419737989869965)	(87, 36.35207503791099)	(92, 36.36160859783866)	(97, 36.324323297676514)	(102, 36.30932469313498)	(107, 36.27233466944055)	(112, 36.262550113968985)	(117, 36.222036891783794)	(122, 36.2057311420758)	(127, 36.147260251120635)	(132, 36.11209826635735)	(137, 36.09116123425947)	(142, 36.06478385044124)	(147, 35.98058572138397)	(150, 35.819785102702255)
ERR6913187_1	(1, 36.50953859804792)	(2, 36.526175687666374)	(3, 36.63661427303841)	(4, 36.60539992394473)	(5, 36.679949930282675)	(6, 36.69035999492965)	(7, 36.68742869818735)	(8, 36.69305361896311)	(9, 36.68849822537711)	(12, 36.686294207123844)	(17, 36.690572315882875)	(22, 36.669322791228296)	(27, 36.6482649892255)	(32, 36.63006559766764)	(37, 36.62286275422679)	(42, 36.62044196946089)	(47, 36.609563538151185)	(52, 36.59791309924809)	(57, 36.58656923061769)	(62, 36.57084250291669)	(67, 36.55011594493588)	(72, 36.53771507874327)	(77, 36.522020803009035)	(82, 36.506693150755844)	(87, 36.473129930395295)	(92, 36.47175703483519)	(97, 36.45167187444072)	(102, 36.44102750803938)	(107, 36.40710002311381)	(112, 36.393861534163726)	(117, 36.356946573824644)	(122, 36.339870556485195)	(127, 36.34784297176249)	(132, 36.284574722606855)	(137, 36.28595748875297)	(142, 36.251142113652975)	(147, 36.22063209540179)	(150, 36.15260120668968)
ERR6913187_2	(1, 36.466543605019645)	(2, 36.48723697553556)	(3, 36.51073488401572)	(4, 36.4620040562809)	(5, 36.469371910254786)	(6, 36.5033591076182)	(7, 36.43725440486754)	(8, 36.47972651793637)	(9, 36.43638293826847)	(12, 36.45204556978071)	(17, 36.44596114843453)	(22, 36.43049816199772)	(27, 36.41209278742553)	(32, 36.39296013436431)	(37, 36.38733750378866)	(42, 36.36363420858237)	(47, 36.343386918050044)	(52, 36.3335344608941)	(57, 36.32210620992949)	(62, 36.294278741162906)	(67, 36.25024385091653)	(72, 36.22961180075934)	(77, 36.2112708353084)	(82, 36.21136119616689)	(87, 36.1624760728878)	(92, 36.150827693844526)	(97, 36.12140797078011)	(102, 36.09617623862103)	(107, 36.05945207021894)	(112, 36.039493465209965)	(117, 35.996455947803824)	(122, 35.98030614944791)	(127, 35.90701308638465)	(132, 35.88487873061389)	(137, 35.84795520393457)	(142, 35.85077664261373)	(147, 35.758987148047744)	(150, 35.59655776241304)
ERR6913215_1	(1, 36.57091731022791)	(2, 36.5583443209644)	(3, 36.63335844791863)	(4, 36.62365793934828)	(5, 36.64729704275758)	(6, 36.62149180636655)	(7, 36.56936334526276)	(8, 36.62262196270484)	(9, 36.648144660011305)	(12, 36.62460915426634)	(17, 36.59709926539838)	(22, 36.568934827651155)	(27, 36.544047843284986)	(32, 36.22618195517047)	(37, 36.30223708924207)	(42, 36.43335529297027)	(47, 36.45894778468327)	(52, 36.48029413626251)	(57, 36.45040130099976)	(62, 36.43815588241091)	(67, 36.42504963293588)	(72, 36.44573854804936)	(77, 36.4423568081876)	(82, 36.42180359859185)	(87, 36.40687533532851)	(92, 36.3993398299657)	(97, 36.40764524302771)	(102, 36.37671186316338)	(107, 36.36859136842054)	(112, 36.33359108291238)	(117, 36.34472140151665)	(122, 36.31254026265215)	(127, 36.27526509156315)	(132, 36.28908576966477)	(137, 36.257411591826475)	(142, 36.24546584271495)	(147, 36.22223598643602)	(150, 36.12571612180482)
ERR6913215_2	(1, 36.388090977585236)	(2, 36.625023544923714)	(3, 36.641057637973255)	(4, 36.64626106611414)	(5, 36.60962516481447)	(6, 36.599077038990394)	(7, 36.59498022226408)	(8, 36.65652665285364)	(9, 36.63632510830665)	(12, 36.63898568468638)	(17, 36.63060369184404)	(22, 36.61277076662272)	(27, 36.59401958937653)	(32, 36.30558485590507)	(37, 36.37664011208915)	(42, 36.53499175214544)	(47, 36.52674680655491)	(52, 36.51486550727579)	(57, 36.498126364198626)	(62, 36.48837789785368)	(67, 36.485125412128966)	(72, 36.48177521983207)	(77, 36.45279815812036)	(82, 36.397614231370014)	(87, 36.44608404036239)	(92, 36.44121881355901)	(97, 36.40098549926287)	(102, 36.397414790455)	(107, 36.364455996068294)	(112, 36.340649144842274)	(117, 36.34078878580924)	(122, 36.298413522953176)	(127, 36.31814227013155)	(132, 36.271714059189804)	(137, 36.19608468465298)	(142, 36.18957404287894)	(147, 36.11933572580118)	(150, 35.97572523332424)
