Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
ERR6913119_1	(21.0, 1.0)	(22.0, 1.0)	(23.0, 0.0)	(24.0, 3.0)	(25.0, 7.0)	(26.0, 6.0)	(27.0, 7.0)	(28.0, 14.0)	(29.0, 25.0)	(30.0, 472.0)	(31.0, 2823.0)	(32.0, 4764.0)	(33.0, 6606.0)	(34.0, 9643.0)	(35.0, 21435.0)	(36.0, 250425.0)	(37.0, 68383.0)
ERR6913119_2	(24.0, 1.0)	(25.0, 2.0)	(26.0, 8.0)	(27.0, 6.0)	(28.0, 13.0)	(29.0, 32.0)	(30.0, 187.0)	(31.0, 1076.0)	(32.0, 2381.0)	(33.0, 4301.0)	(34.0, 9602.0)	(35.0, 34518.0)	(36.0, 247142.0)	(37.0, 65346.0)			
ERR6913146_1	(24.0, 2.0)	(25.0, 4.0)	(26.0, 6.0)	(27.0, 6.0)	(28.0, 6.0)	(29.0, 12.0)	(30.0, 86.0)	(31.0, 711.0)	(32.0, 1379.0)	(33.0, 2179.0)	(34.0, 3652.0)	(35.0, 9882.0)	(36.0, 146829.0)	(37.0, 46710.0)			
ERR6913146_2	(24.0, 1.0)	(25.0, 0.0)	(26.0, 2.0)	(27.0, 3.0)	(28.0, 8.0)	(29.0, 16.0)	(30.0, 92.0)	(31.0, 616.0)	(32.0, 1403.0)	(33.0, 2637.0)	(34.0, 5549.0)	(35.0, 17567.0)	(36.0, 148588.0)	(37.0, 34982.0)			
ERR6913185_1	(23.0, 3.0)	(24.0, 0.0)	(25.0, 3.0)	(26.0, 5.0)	(27.0, 7.0)	(28.0, 10.0)	(29.0, 12.0)	(30.0, 28.0)	(31.0, 268.0)	(32.0, 582.0)	(33.0, 918.0)	(34.0, 1532.0)	(35.0, 4413.0)	(36.0, 62426.0)	(37.0, 17180.0)		
ERR6913185_2	(25.0, 2.0)	(26.0, 3.0)	(27.0, 8.0)	(28.0, 5.0)	(29.0, 7.0)	(30.0, 42.0)	(31.0, 340.0)	(32.0, 698.0)	(33.0, 1265.0)	(34.0, 2529.0)	(35.0, 7972.0)	(36.0, 62856.0)	(37.0, 11660.0)				
ERR6913187_1	(23.0, 2.0)	(24.0, 4.0)	(25.0, 6.0)	(26.0, 2.0)	(27.0, 7.0)	(28.0, 10.0)	(29.0, 9.0)	(30.0, 49.0)	(31.0, 454.0)	(32.0, 869.0)	(33.0, 1399.0)	(34.0, 2702.0)	(35.0, 8372.0)	(36.0, 94028.0)	(37.0, 18311.0)		
ERR6913187_2	(24.0, 1.0)	(25.0, 3.0)	(26.0, 4.0)	(27.0, 6.0)	(28.0, 3.0)	(29.0, 13.0)	(30.0, 95.0)	(31.0, 912.0)	(32.0, 1814.0)	(33.0, 3299.0)	(34.0, 5893.0)	(35.0, 15935.0)	(36.0, 85101.0)	(37.0, 13145.0)			
ERR6913215_1	(24.0, 1.0)	(25.0, 2.0)	(26.0, 6.0)	(27.0, 1.0)	(28.0, 4.0)	(29.0, 8.0)	(30.0, 75.0)	(31.0, 343.0)	(32.0, 611.0)	(33.0, 998.0)	(34.0, 1829.0)	(35.0, 2852.0)	(36.0, 25429.0)	(37.0, 10313.0)			
ERR6913215_2	(24.0, 2.0)	(25.0, 0.0)	(26.0, 2.0)	(27.0, 2.0)	(28.0, 1.0)	(29.0, 3.0)	(30.0, 21.0)	(31.0, 106.0)	(32.0, 269.0)	(33.0, 689.0)	(34.0, 1505.0)	(35.0, 3624.0)	(36.0, 25664.0)	(37.0, 10584.0)			
ERR6913242_1	(22.0, 5.0)	(23.0, 8.0)	(24.0, 15.0)	(25.0, 28.0)	(26.0, 30.0)	(27.0, 52.0)	(28.0, 61.0)	(29.0, 129.0)	(30.0, 808.0)	(31.0, 4812.0)	(32.0, 8942.0)	(33.0, 13839.0)	(34.0, 24415.0)	(35.0, 56873.0)	(36.0, 831163.0)	(37.0, 350377.0)	
ERR6913242_2	(22.0, 1.0)	(23.0, 5.0)	(24.0, 12.0)	(25.0, 15.0)	(26.0, 27.0)	(27.0, 43.0)	(28.0, 72.0)	(29.0, 130.0)	(30.0, 449.0)	(31.0, 2583.0)	(32.0, 5526.0)	(33.0, 10585.0)	(34.0, 23068.0)	(35.0, 76281.0)	(36.0, 891825.0)	(37.0, 280935.0)	
ERR6913281_1	(22.0, 3.0)	(23.0, 7.0)	(24.0, 13.0)	(25.0, 29.0)	(26.0, 29.0)	(27.0, 37.0)	(28.0, 32.0)	(29.0, 64.0)	(30.0, 647.0)	(31.0, 4318.0)	(32.0, 7894.0)	(33.0, 12171.0)	(34.0, 20042.0)	(35.0, 49283.0)	(36.0, 857009.0)	(37.0, 282997.0)	
ERR6913281_2	(23.0, 3.0)	(24.0, 4.0)	(25.0, 13.0)	(26.0, 21.0)	(27.0, 19.0)	(28.0, 40.0)	(29.0, 76.0)	(30.0, 322.0)	(31.0, 2530.0)	(32.0, 5393.0)	(33.0, 9959.0)	(34.0, 21176.0)	(35.0, 76313.0)	(36.0, 916361.0)	(37.0, 202345.0)		
ERR6913283_1	(24.0, 7.0)	(25.0, 3.0)	(26.0, 11.0)	(27.0, 10.0)	(28.0, 9.0)	(29.0, 23.0)	(30.0, 112.0)	(31.0, 657.0)	(32.0, 1165.0)	(33.0, 1847.0)	(34.0, 3376.0)	(35.0, 7816.0)	(36.0, 116456.0)	(37.0, 35380.0)			
ERR6913283_2	(24.0, 2.0)	(25.0, 2.0)	(26.0, 6.0)	(27.0, 9.0)	(28.0, 11.0)	(29.0, 19.0)	(30.0, 56.0)	(31.0, 427.0)	(32.0, 925.0)	(33.0, 1692.0)	(34.0, 3755.0)	(35.0, 11856.0)	(36.0, 120408.0)	(37.0, 27704.0)			
ERR6913294_1	(22.0, 1.0)	(23.0, 0.0)	(24.0, 12.0)	(25.0, 17.0)	(26.0, 17.0)	(27.0, 29.0)	(28.0, 39.0)	(29.0, 90.0)	(30.0, 821.0)	(31.0, 5284.0)	(32.0, 9594.0)	(33.0, 13743.0)	(34.0, 21297.0)	(35.0, 52067.0)	(36.0, 675627.0)	(37.0, 307394.0)	
ERR6913294_2	(24.0, 1.0)	(25.0, 7.0)	(26.0, 7.0)	(27.0, 29.0)	(28.0, 39.0)	(29.0, 59.0)	(30.0, 406.0)	(31.0, 3073.0)	(32.0, 6438.0)	(33.0, 11981.0)	(34.0, 25426.0)	(35.0, 90606.0)	(36.0, 689784.0)	(37.0, 258176.0)			
ERR6913309_1	(24.0, 2.0)	(25.0, 1.0)	(26.0, 3.0)	(27.0, 5.0)	(28.0, 8.0)	(29.0, 9.0)	(30.0, 156.0)	(31.0, 1081.0)	(32.0, 1997.0)	(33.0, 3094.0)	(34.0, 5117.0)	(35.0, 12469.0)	(36.0, 158159.0)	(37.0, 45775.0)			
ERR6913309_2	(24.0, 1.0)	(25.0, 1.0)	(26.0, 0.0)	(27.0, 3.0)	(28.0, 9.0)	(29.0, 10.0)	(30.0, 153.0)	(31.0, 1222.0)	(32.0, 2603.0)	(33.0, 4461.0)	(34.0, 8577.0)	(35.0, 26271.0)	(36.0, 154375.0)	(37.0, 30190.0)			
ERR6913323_1	(22.0, 2.0)	(23.0, 3.0)	(24.0, 7.0)	(25.0, 18.0)	(26.0, 33.0)	(27.0, 52.0)	(28.0, 70.0)	(29.0, 155.0)	(30.0, 1189.0)	(31.0, 7204.0)	(32.0, 15009.0)	(33.0, 25955.0)	(34.0, 50041.0)	(35.0, 83823.0)	(36.0, 841967.0)	(37.0, 507757.0)	
ERR6913323_2	(23.0, 1.0)	(24.0, 3.0)	(25.0, 6.0)	(26.0, 5.0)	(27.0, 23.0)	(28.0, 41.0)	(29.0, 103.0)	(30.0, 793.0)	(31.0, 6049.0)	(32.0, 14578.0)	(33.0, 30189.0)	(34.0, 63836.0)	(35.0, 159915.0)	(36.0, 898531.0)	(37.0, 359212.0)		
ERR6913338_1	(23.0, 3.0)	(24.0, 7.0)	(25.0, 12.0)	(26.0, 11.0)	(27.0, 15.0)	(28.0, 23.0)	(29.0, 47.0)	(30.0, 520.0)	(31.0, 3662.0)	(32.0, 6705.0)	(33.0, 10458.0)	(34.0, 17094.0)	(35.0, 41921.0)	(36.0, 523635.0)	(37.0, 153061.0)		
ERR6913338_2	(23.0, 1.0)	(24.0, 4.0)	(25.0, 1.0)	(26.0, 8.0)	(27.0, 7.0)	(28.0, 27.0)	(29.0, 33.0)	(30.0, 433.0)	(31.0, 3811.0)	(32.0, 7945.0)	(33.0, 13516.0)	(34.0, 26302.0)	(35.0, 80498.0)	(36.0, 518478.0)	(37.0, 106110.0)		
