Sample	Unique Reads	Duplicate Reads
ERR6913119_1	345224	19391
ERR6913119_2	345313	19302
ERR6913146_1	193233	18231
ERR6913146_2	193402	18062
ERR6913185_1	78089	9298
ERR6913185_2	78174	9213
ERR6913187_1	112682	13542
ERR6913187_2	112864	13360
ERR6913215_1	34376	8096
ERR6913215_2	34359	8113
ERR6913242_1	888841	402716
ERR6913242_2	892462	399095
ERR6913281_1	527562	707013
ERR6913281_2	529129	705446
ERR6913283_1	146048	20824
ERR6913283_2	146100	20772
ERR6913294_1	1030586	55446
ERR6913294_2	1030720	55312
ERR6913309_1	204509	23367
ERR6913309_2	204857	23019
ERR6913323_1	979868	553417
ERR6913323_2	981792	551493
ERR6913338_1	641709	115465
ERR6913338_2	643127	114047
