Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR6913119_1	(1.0, 89.72668875738141)	(2.0, 9.240755195200835)	(3.0, 0.9240901031564734)	(4.0, 0.09608533912102613)	(5.0, 0.012380605140266163)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913119_2	(1.0, 89.76063639732303)	(2.0, 9.252412083223984)	(3.0, 0.8769411181343347)	(4.0, 0.09916928535045576)	(5.0, 0.008841327434488481)	(6.0, 0.0019997885337233474)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913146_1	(1.0, 83.68750437339155)	(2.0, 13.755722776043031)	(3.0, 2.1356374242331047)	(4.0, 0.3513266058153955)	(5.0, 0.054440849265965756)	(6.0, 0.015367971250941762)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913146_2	(1.0, 83.8246586899371)	(2.0, 13.680591460424079)	(3.0, 2.0914991729297094)	(4.0, 0.32357854826529875)	(5.0, 0.06738223928598587)	(6.0, 0.012289889157827315)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913185_1	(1.0, 79.86542620755948)	(2.0, 16.991085630585783)	(3.0, 2.588485701534553)	(4.0, 0.48977536704544156)	(5.0, 0.05721674848661701)	(6.0, 0.0)	(7.0, 0.008010344788126381)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913185_2	(1.0, 80.04966413768638)	(2.0, 16.837744744641654)	(3.0, 2.561021662260977)	(4.0, 0.49435270692437094)	(5.0, 0.05721674848661701)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913187_1	(1.0, 79.68906160738062)	(2.0, 17.160576388532554)	(3.0, 2.61979577279463)	(4.0, 0.4601317284170243)	(5.0, 0.04903667921689342)	(6.0, 0.021397823658280767)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913187_2	(1.0, 79.9591207727828)	(2.0, 16.94078012019446)	(3.0, 2.5624268818846883)	(4.0, 0.4823062938457522)	(5.0, 0.04464994459056444)	(6.0, 0.010715986701735467)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913215_1	(1.0, 72.40770389903936)	(2.0, 13.712563571294028)	(3.0, 2.924279525334338)	(4.0, 0.9323789790921078)	(5.0, 0.49444339800339043)	(6.0, 0.40968167263138067)	(7.0, 0.3296289320022603)	(8.0, 0.18835938971557734)	(9.0, 0.21190431343002447)	('>10', 3.2774533810510453)	('>50', 0.9512149180636654)	('>100', 4.160388020342814)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913215_2	(1.0, 72.35355057449614)	(2.0, 13.816161235637598)	(3.0, 2.804200414390657)	(4.0, 0.9229610096063289)	(5.0, 0.5179883217178377)	(6.0, 0.40968167263138067)	(7.0, 0.3461103786023733)	(8.0, 0.18835938971557734)	(9.0, 0.14833301940101715)	('>10', 3.6306272367677526)	('>50', 0.9370879638349973)	('>100', 3.924938783198342)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
