Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
ERR6913119_1	(37, 278.0)	(42, 409.0)	(47, 737.0)	(52, 1227.0)	(57, 1782.0)	(62, 2614.0)	(67, 3611.0)	(72, 4757.0)	(77, 6162.0)	(82, 7742.0)	(87, 8959.0)	(92, 10416.0)	(97, 11676.0)	(102, 12770.0)	(107, 13926.0)	(112, 14425.0)	(117, 15078.0)	(122, 15542.0)	(127, 15887.0)	(132, 15655.0)	(137, 15855.0)	(142, 15527.0)	(147, 30885.0)	(151, 138695.0)
ERR6913119_2	(37, 280.0)	(42, 410.0)	(47, 737.0)	(52, 1226.0)	(57, 1781.0)	(62, 2613.0)	(67, 3611.0)	(72, 4758.0)	(77, 6164.0)	(82, 7740.0)	(87, 8958.0)	(92, 10420.0)	(97, 11671.0)	(102, 12764.0)	(107, 13931.0)	(112, 14420.0)	(117, 15074.0)	(122, 15526.0)	(127, 15878.0)	(132, 15664.0)	(137, 15855.0)	(142, 15490.0)	(147, 30794.0)	(151, 138850.0)
ERR6913146_1	(37, 241.0)	(42, 392.0)	(47, 655.0)	(52, 999.0)	(57, 1507.0)	(62, 1967.0)	(67, 2623.0)	(72, 3256.0)	(77, 3818.0)	(82, 4431.0)	(87, 4746.0)	(92, 5101.0)	(97, 5208.0)	(102, 5446.0)	(107, 5602.0)	(112, 5625.0)	(117, 5665.0)	(122, 5681.0)	(127, 5631.0)	(132, 5914.0)	(137, 5897.0)	(142, 5858.0)	(147, 19427.0)	(151, 105774.0)
ERR6913146_2	(37, 241.0)	(42, 392.0)	(47, 655.0)	(52, 997.0)	(57, 1508.0)	(62, 1966.0)	(67, 2622.0)	(72, 3259.0)	(77, 3815.0)	(82, 4436.0)	(87, 4746.0)	(92, 5101.0)	(97, 5206.0)	(102, 5442.0)	(107, 5603.0)	(112, 5622.0)	(117, 5667.0)	(122, 5678.0)	(127, 5629.0)	(132, 5911.0)	(137, 5895.0)	(142, 5847.0)	(147, 19442.0)	(151, 105784.0)
ERR6913185_1	(37, 46.0)	(42, 54.0)	(47, 121.0)	(52, 199.0)	(57, 218.0)	(62, 363.0)	(67, 485.0)	(72, 658.0)	(77, 834.0)	(82, 1103.0)	(87, 1227.0)	(92, 1483.0)	(97, 1746.0)	(102, 1882.0)	(107, 1956.0)	(112, 2122.0)	(117, 2123.0)	(122, 2142.0)	(127, 2339.0)	(132, 2450.0)	(137, 2417.0)	(142, 2325.0)	(147, 8991.0)	(151, 50103.0)
ERR6913185_2	(37, 45.0)	(42, 55.0)	(47, 120.0)	(52, 201.0)	(57, 219.0)	(62, 364.0)	(67, 488.0)	(72, 658.0)	(77, 834.0)	(82, 1103.0)	(87, 1227.0)	(92, 1486.0)	(97, 1751.0)	(102, 1887.0)	(107, 1957.0)	(112, 2121.0)	(117, 2122.0)	(122, 2143.0)	(127, 2338.0)	(132, 2445.0)	(137, 2426.0)	(142, 2323.0)	(147, 9193.0)	(151, 49881.0)
ERR6913187_1	(37, 80.0)	(42, 102.0)	(47, 242.0)	(52, 329.0)	(57, 513.0)	(62, 616.0)	(67, 838.0)	(72, 1018.0)	(77, 1258.0)	(82, 1375.0)	(87, 1580.0)	(92, 1767.0)	(97, 1872.0)	(102, 1903.0)	(107, 1968.0)	(112, 2100.0)	(117, 2250.0)	(122, 2278.0)	(127, 2322.0)	(132, 2361.0)	(137, 2314.0)	(142, 2292.0)	(147, 12717.0)	(151, 82129.0)
ERR6913187_2	(37, 80.0)	(42, 102.0)	(47, 242.0)	(52, 332.0)	(57, 514.0)	(62, 617.0)	(67, 839.0)	(72, 1022.0)	(77, 1260.0)	(82, 1374.0)	(87, 1582.0)	(92, 1768.0)	(97, 1875.0)	(102, 1903.0)	(107, 1973.0)	(112, 2102.0)	(117, 2254.0)	(122, 2280.0)	(127, 2323.0)	(132, 2365.0)	(137, 2318.0)	(142, 2303.0)	(147, 12749.0)	(151, 82047.0)
ERR6913215_1	(37, 3009.0)	(42, 1722.0)	(47, 1413.0)	(52, 1278.0)	(57, 382.0)	(62, 575.0)	(67, 879.0)	(72, 1032.0)	(77, 733.0)	(82, 1046.0)	(87, 1159.0)	(92, 1507.0)	(97, 1565.0)	(102, 1762.0)	(107, 1759.0)	(112, 1831.0)	(117, 1673.0)	(122, 1773.0)	(127, 1579.0)	(132, 1660.0)	(137, 1528.0)	(142, 1361.0)	(147, 2245.0)	(151, 9001.0)
ERR6913215_2	(37, 3011.0)	(42, 1722.0)	(47, 1414.0)	(52, 1278.0)	(57, 381.0)	(62, 576.0)	(67, 881.0)	(72, 1030.0)	(77, 732.0)	(82, 1046.0)	(87, 1159.0)	(92, 1508.0)	(97, 1564.0)	(102, 1763.0)	(107, 1760.0)	(112, 1835.0)	(117, 1674.0)	(122, 1775.0)	(127, 1578.0)	(132, 1660.0)	(137, 1527.0)	(142, 1360.0)	(147, 2295.0)	(151, 8943.0)
