Sample	Bacilli	Gammaproteobacteria	Bacteroidia	Actinomycetes	Betaproteobacteria	Other	Unclassified
kraken2.1.ERR6913309	31528	57828	12288	20124	7256	47711	51141
kraken2.10.ERR6913281	116406	20253	302209	47355	226969	396074	125309
kraken2.11.ERR6913187	45868	9293	21581	4126	6532	8374	30450
kraken2.12.ERR6913283	43798	7123	38500	5693	5298	14426	52034
kraken2.2.ERR6913338	118456	408081	24973	23858	30645	93538	57623
kraken2.3.ERR6913119	1469	7165	145	5148	3789	9471	337428
kraken2.4.ERR6913215	676	1097	168	3664	1253	8712	26902
kraken2.5.ERR6913294	193503	32524	81762	37009	93528	114790	532916
kraken2.6.ERR6913323	524762	13374	15658	31950	157973	116273	673295
kraken2.7.ERR6913146	103516	2538	3565	20977	1756	14734	64378
kraken2.8.ERR6913242	334764	28736	26204	109678	30270	188854	573051
kraken2.9.ERR6913185	52643	5117	3347	4026	747	4314	17193
