Sample	Bacteria	Eukaryota	Viruses	Archaea	Other	Unclassified
kraken2.1.ERR6913309	176149	187	44	49	306	51141
kraken2.10.ERR6913281	1103821	4230	94	297	824	125309
kraken2.11.ERR6913187	94841	145	277	25	486	30450
kraken2.12.ERR6913283	113962	353	267	93	163	52034
kraken2.2.ERR6913338	697271	289	90	54	1847	57623
kraken2.3.ERR6913119	25331	964	471	283	138	337428
kraken2.4.ERR6913215	10102	2360	2407	56	645	26902
kraken2.5.ERR6913294	548872	2592	704	450	498	532916
kraken2.6.ERR6913323	855517	2049	796	1065	563	673295
kraken2.7.ERR6913146	146444	371	128	71	72	64378
kraken2.8.ERR6913242	670196	39854	483	1528	6445	573051
kraken2.9.ERR6913185	69552	140	327	25	150	17193
