Sample	Streptococcaceae	Prevotellaceae	Enterobacteriaceae	Veillonellaceae	Neisseriaceae	Other	Unclassified
kraken2.1.ERR6913309	25598	10821	45465	22996	6692	65163	51141
kraken2.10.ERR6913281	99197	258179	421	229136	203514	318819	125309
kraken2.11.ERR6913187	43871	15283	103	2111	6356	28050	30450
kraken2.12.ERR6913283	40987	26325	92	3451	4759	39224	52034
kraken2.2.ERR6913338	106155	21665	345211	40642	28982	156896	57623
kraken2.3.ERR6913119	84	36	384	14	73	26596	337428
kraken2.4.ERR6913215	214	55	112	47	48	15094	26902
kraken2.5.ERR6913294	172328	72508	394	55747	81299	170840	532916
kraken2.6.ERR6913323	501299	4223	447	51282	152392	150347	673295
kraken2.7.ERR6913146	101637	3376	136	10472	985	30480	64378
kraken2.8.ERR6913242	310080	21335	1531	34791	2151	348618	573051
kraken2.9.ERR6913185	50805	3267	80	1858	371	13813	17193
