Sample	Streptococcus	Klebsiella	Prevotella	Veillonella	Neisseria	Other	Unclassified
kraken2.1.ERR6913309	25495	38952	9991	22786	2775	76736	51141
kraken2.10.ERR6913281	98022	63	195918	223611	80401	511251	125309
kraken2.11.ERR6913187	43846	5	10612	2099	5887	33325	30450
kraken2.12.ERR6913283	40952	15	18489	3426	4260	47696	52034
kraken2.2.ERR6913338	105009	303255	20031	40170	14829	216257	57623
kraken2.3.ERR6913119	60	57	23	5	39	27003	337428
kraken2.4.ERR6913215	203	23	39	45	10	15250	26902
kraken2.5.ERR6913294	172153	76	70521	55600	78523	176243	532916
kraken2.6.ERR6913323	500382	120	3612	51242	141952	162682	673295
kraken2.7.ERR6913146	101504	17	3234	10436	846	31049	64378
kraken2.8.ERR6913242	306467	214	17719	33826	780	359500	573051
kraken2.9.ERR6913185	50774	2	3130	1848	332	14108	17193
