Sample	Orthornavirae	Fungi	Metazoa	Heunggongvirae	Bamfordvirae	Other	Unclassified
kraken2.1.ERR6913309	3	35	125	37	2	176533	51141
kraken2.10.ERR6913281	4	608	271	55	26	1108302	125309
kraken2.11.ERR6913187	nan	23	114	275	1	95361	30450
kraken2.12.ERR6913283	nan	107	212	254	11	114254	52034
kraken2.2.ERR6913338	9	58	160	71	8	699245	57623
kraken2.3.ERR6913119	3	267	528	422	19	25948	337428
kraken2.4.ERR6913215	2365	1387	97	23	6	11692	26902
kraken2.5.ERR6913294	12	424	1928	651	30	550071	532916
kraken2.6.ERR6913323	24	448	1321	583	176	857438	673295
kraken2.7.ERR6913146	1	66	276	117	5	146621	64378
kraken2.8.ERR6913242	58	5628	1605	357	39	710819	573051
kraken2.9.ERR6913185	1	19	114	321	2	69737	17193
