Sample	Lactobacillales	Bacteroidales	Enterobacterales	Veillonellales	Neisseriales	Other	Unclassified
kraken2.1.ERR6913309	30446	12259	50436	22996	6896	53702	51141
kraken2.10.ERR6913281	106936	301168	926	229136	211826	259274	125309
kraken2.11.ERR6913187	44572	21550	180	2111	6363	20998	30450
kraken2.12.ERR6913283	42415	38448	176	3451	4773	25575	52034
kraken2.2.ERR6913338	115156	24915	373281	40642	29707	115850	57623
kraken2.3.ERR6913119	638	116	660	14	220	25539	337428
kraken2.4.ERR6913215	429	158	185	47	84	14667	26902
kraken2.5.ERR6913294	178867	81679	874	55747	81456	154493	532916
kraken2.6.ERR6913323	508069	15509	814	51282	152677	131639	673295
kraken2.7.ERR6913146	102697	3551	225	10472	1000	29141	64378
kraken2.8.ERR6913242	322568	25627	2887	34791	2687	329946	573051
kraken2.9.ERR6913185	51159	3343	112	1858	377	13345	17193
