Sample	Bacillota	Pseudomonadota	Bacteroidota	Actinomycetota	Fusobacteriota	Other	Unclassified
kraken2.1.ERR6913309	57370	66145	12886	27902	4398	8034	51141
kraken2.10.ERR6913281	438313	253592	314490	51075	19865	31931	125309
kraken2.11.ERR6913187	48758	16014	22305	4429	1995	2273	30450
kraken2.12.ERR6913283	48058	13448	39557	5913	4474	3388	52034
kraken2.2.ERR6913338	164340	442197	26138	33974	10229	22673	57623
kraken2.3.ERR6913119	1958	14484	1350	5264	37	4094	337428
kraken2.4.ERR6913215	974	3474	734	3713	30	6645	26902
kraken2.5.ERR6913294	256890	130614	90099	39405	14895	21213	532916
kraken2.6.ERR6913323	585849	176131	42765	32997	9974	12274	673295
kraken2.7.ERR6913146	114541	4926	3903	21265	422	2029	64378
kraken2.8.ERR6913242	384199	78353	42425	112632	1366	99531	573051
kraken2.9.ERR6913185	54667	6334	3545	4104	203	1341	17193
