Sample	Streptococcus mitis	Streptococcus salivarius	Streptococcus pneumoniae	Veillonella atypica	Klebsiella pneumoniae	Other	Unclassified
kraken2.1.ERR6913309	2629	5690	1471	15991	10707	140247	51141
kraken2.10.ERR6913281	1071	2500	743	54707	32	1050213	125309
kraken2.11.ERR6913187	12410	412	5390	43	nan	77519	30450
kraken2.12.ERR6913283	10679	194	4906	50	1	99008	52034
kraken2.2.ERR6913338	16006	10062	9039	17903	83392	563149	57623
kraken2.3.ERR6913119	4	nan	4	1	11	27167	337428
kraken2.4.ERR6913215	6	9	nan	7	2	15546	26902
kraken2.5.ERR6913294	21698	14434	9411	5026	14	502533	532916
kraken2.6.ERR6913323	33611	21664	12644	5057	13	787001	673295
kraken2.7.ERR6913146	1547	47034	575	7528	6	90396	64378
kraken2.8.ERR6913242	3059	50730	1443	12377	113	650784	573051
kraken2.9.ERR6913185	14155	987	9934	723	1	44394	17193
