Module	Section	Sample Name	Source
Bowtie 2 / HiSAT2	all_sections	x_aliok_bowtie_merged2PhiX	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/bowtie/x_aliok_bowtie_merged2PhiX.log
Bowtie 2 / HiSAT2	all_sections	x_aliok_bowtie_merged2SARS-CoV-2	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/bowtie/x_aliok_bowtie_merged2SARS-CoV-2.log
Bracken	all_sections	bracken.6.ERR6913323	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/bracken/bracken.6.ERR6913323.report
Bracken	all_sections	bracken.10.ERR6913281	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/bracken/bracken.10.ERR6913281.report
Bracken	all_sections	bracken.5.ERR6913294	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/bracken/bracken.5.ERR6913294.report
Bracken	all_sections	bracken.11.ERR6913187	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/bracken/bracken.11.ERR6913187.report
Bracken	all_sections	bracken.1.ERR6913309	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/bracken/bracken.1.ERR6913309.report
Bracken	all_sections	bracken.12.ERR6913283	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/bracken/bracken.12.ERR6913283.report
Bracken	all_sections	bracken.7.ERR6913146	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/bracken/bracken.7.ERR6913146.report
Bracken	all_sections	bracken.9.ERR6913185	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/bracken/bracken.9.ERR6913185.report
Bracken	all_sections	bracken.4.ERR6913215	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/bracken/bracken.4.ERR6913215.report
Bracken	all_sections	bracken.8.ERR6913242	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/bracken/bracken.8.ERR6913242.report
Bracken	all_sections	bracken.3.ERR6913119	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/bracken/bracken.3.ERR6913119.report
Bracken	all_sections	bracken.2.ERR6913338	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/bracken/bracken.2.ERR6913338.report
Kraken	all_sections	kraken2.4.ERR6913215	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/kraken2/kraken2.4.ERR6913215.report
Kraken	all_sections	kraken2.1.ERR6913309	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/kraken2/kraken2.1.ERR6913309.report
Kraken	all_sections	kraken2.7.ERR6913146	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/kraken2/kraken2.7.ERR6913146.report
Kraken	all_sections	kraken2.2.ERR6913338	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/kraken2/kraken2.2.ERR6913338.report
Kraken	all_sections	kraken2.3.ERR6913119	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/kraken2/kraken2.3.ERR6913119.report
Kraken	all_sections	kraken2.10.ERR6913281	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/kraken2/kraken2.10.ERR6913281.report
Kraken	all_sections	kraken2.5.ERR6913294	/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/analyses/kraken2/kraken2/kraken2.5.ERR6913294.report
