file                                                                                        format  type   num_seqs      sum_len  min_len  avg_len  max_len
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913119_1.fastq.gz  FASTQ   DNA     364,615   46,945,575       35    128.8      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913119_2.fastq.gz  FASTQ   DNA     364,615   46,947,012       35    128.8      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913146_1.fastq.gz  FASTQ   DNA     211,464   27,855,323       35    131.7      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913146_2.fastq.gz  FASTQ   DNA     211,464   27,855,792       35    131.7      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913185_1.fastq.gz  FASTQ   DNA      87,387   12,010,792       35    137.4      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913185_2.fastq.gz  FASTQ   DNA      87,387   12,009,029       35    137.4      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913187_1.fastq.gz  FASTQ   DNA     126,224   17,609,446       35    139.5      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913187_2.fastq.gz  FASTQ   DNA     126,224   17,607,385       35    139.5      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913215_1.fastq.gz  FASTQ   DNA      42,472    4,534,504       35    106.8      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913215_2.fastq.gz  FASTQ   DNA      42,472    4,533,982       35    106.8      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913242_1.fastq.gz  FASTQ   DNA   1,291,557  157,242,747       35    121.7      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913242_2.fastq.gz  FASTQ   DNA   1,291,557  157,244,858       35    121.7      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913281_1.fastq.gz  FASTQ   DNA   1,234,575  170,002,743       35    137.7      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913281_2.fastq.gz  FASTQ   DNA   1,234,575  169,998,805       35    137.7      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913283_1.fastq.gz  FASTQ   DNA     166,872   22,158,834       35    132.8      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913283_2.fastq.gz  FASTQ   DNA     166,872   22,157,463       35    132.8      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913294_1.fastq.gz  FASTQ   DNA   1,086,032  116,597,057       35    107.4      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913294_2.fastq.gz  FASTQ   DNA   1,086,032  116,581,249       35    107.3      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913309_1.fastq.gz  FASTQ   DNA     227,876   30,143,347       35    132.3      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913309_2.fastq.gz  FASTQ   DNA     227,876   30,144,109       35    132.3      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913323_1.fastq.gz  FASTQ   DNA   1,533,285  153,532,643       35    100.1      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913323_2.fastq.gz  FASTQ   DNA   1,533,285  153,521,821       35    100.1      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913338_1.fastq.gz  FASTQ   DNA     757,174  100,714,245       35      133      151
/proj/applied_bioinformatics/users/x_aliok/MedBioinfo/data/sra_fastq/ERR6913338_2.fastq.gz  FASTQ   DNA     757,174  100,706,239       35      133      151
